🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 23200/118890 (20%) | inserted=9392 | alreadyHadAudio=13808 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=26406
⏳ 23400/118890 (20%) | inserted=9553 | alreadyHadAudio=13847 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=26634
⏳ 23600/118890 (20%) | inserted=9589 | alreadyHadAudio=14011 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=26878
⏳ 23800/118890 (20%) | inserted=9788 | alreadyHadAudio=14012 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=27100
⏳ 24000/118890 (20%) | inserted=9888 | alreadyHadAudio=14112 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=27334
⏳ 24200/118890 (20%) | inserted=9941 | alreadyHadAudio=14259 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=27537
⏳ 24400/118890 (21%) | inserted=9942 | alreadyHadAudio=14458 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=27748
⏳ 24600/118890 (21%) | inserted=9990 | alreadyHadAudio=14610 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=27954
⏳ 24800/118890 (21%) | inserted=10182 | alreadyHadAudio=14618 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=28171
⏳ 25000/118890 (21%) | inserted=10376 | alreadyHadAudio=14624 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=28393
⏳ 25200/118890 (21%) | inserted=10405 | alreadyHadAudio=14795 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=28602
⏳ 25400/118890 (21%) | inserted=10413 | alreadyHadAudio=14987 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=28836
⏳ 25600/118890 (22%) | inserted=10585 | alreadyHadAudio=15015 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=29051
⏳ 25800/118890 (22%) | inserted=10782 | alreadyHadAudio=15018 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=29282
⏳ 26000/118890 (22%) | inserted=10977 | alreadyHadAudio=15023 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=29502
⏳ 26200/118890 (22%) | inserted=11168 | alreadyHadAudio=15032 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=29710
⏳ 26400/118890 (22%) | inserted=11368 | alreadyHadAudio=15032 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=29918
⏳ 26600/118890 (22%) | inserted=11454 | alreadyHadAudio=15146 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=30128
⏳ 26800/118890 (23%) | inserted=11573 | alreadyHadAudio=15227 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=30335
⏳ 27000/118890 (23%) | inserted=11589 | alreadyHadAudio=15411 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=30545
⏳ 27200/118890 (23%) | inserted=11784 | alreadyHadAudio=15416 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=30754
⏳ 27400/118890 (23%) | inserted=11969 | alreadyHadAudio=15431 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=30963
⏳ 27600/118890 (23%) | inserted=11970 | alreadyHadAudio=15630 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=31175
⏳ 27800/118890 (23%) | inserted=11980 | alreadyHadAudio=15820 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=31390
⏳ 28000/118890 (24%) | inserted=12090 | alreadyHadAudio=15910 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=31598
⏳ 28200/118890 (24%) | inserted=12090 | alreadyHadAudio=16110 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=31817
⏳ 28400/118890 (24%) | inserted=12169 | alreadyHadAudio=16231 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=32072
⏳ 28600/118890 (24%) | inserted=12324 | alreadyHadAudio=16276 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=32281
⏳ 28800/118890 (24%) | inserted=12372 | alreadyHadAudio=16428 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=32486
⏳ 29000/118890 (24%) | inserted=12419 | alreadyHadAudio=16581 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=32704
⏳ 29200/118890 (25%) | inserted=12507 | alreadyHadAudio=16693 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=32913
⏳ 29400/118890 (25%) | inserted=12521 | alreadyHadAudio=16879 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=33119
⏳ 29600/118890 (25%) | inserted=12599 | alreadyHadAudio=17001 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=33325
⏳ 29800/118890 (25%) | inserted=12798 | alreadyHadAudio=17002 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=33531
⏳ 30000/118890 (25%) | inserted=12870 | alreadyHadAudio=17130 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=33744
⏳ 30200/118890 (25%) | inserted=12874 | alreadyHadAudio=17326 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=33951
⏳ 30400/118890 (26%) | inserted=12979 | alreadyHadAudio=17421 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=34156
⏳ 30600/118890 (26%) | inserted=12998 | alreadyHadAudio=17602 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=34359
⏳ 30800/118890 (26%) | inserted=13193 | alreadyHadAudio=17607 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=34571
⏳ 31000/118890 (26%) | inserted=13383 | alreadyHadAudio=17617 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=34780
⏳ 31200/118890 (26%) | inserted=13583 | alreadyHadAudio=17617 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=34998
⏳ 31400/118890 (26%) | inserted=13596 | alreadyHadAudio=17804 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=35207
⏳ 31600/118890 (27%) | inserted=13787 | alreadyHadAudio=17813 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=35437
