🚀 Starting projects + audio migration: Thu Dec 11 23:13:44 -05 2025
\n=== (1/3) Migrating projects to DB ===
🚀 Starting Projects Migration

==================================================
📦 Found 120091 legacy projects to process

📋 Loading legacy users mapping...
   Found 48404 legacy users with Supabase IDs

📋 Loading existing migrated projects...
   Found 1 already migrated projects

📋 120090 projects to migrate (1 already done)


⏳ Progress: 51200/120090 (43%) - Migrated: 51008, Skipped: 192, Failed: 0
⏳ Progress: 51400/120090 (43%) - Migrated: 51208, Skipped: 192, Failed: 0
⏳ Progress: 51600/120090 (43%) - Migrated: 51408, Skipped: 192, Failed: 0
⏳ Progress: 51800/120090 (43%) - Migrated: 51608, Skipped: 192, Failed: 0
⏳ Progress: 52000/120090 (43%) - Migrated: 51807, Skipped: 193, Failed: 0
⏳ Progress: 52200/120090 (43%) - Migrated: 52007, Skipped: 193, Failed: 0
⏳ Progress: 52400/120090 (44%) - Migrated: 52207, Skipped: 193, Failed: 0
⏳ Progress: 52600/120090 (44%) - Migrated: 52407, Skipped: 193, Failed: 0
⏳ Progress: 52800/120090 (44%) - Migrated: 52607, Skipped: 193, Failed: 0
⏳ Progress: 53000/120090 (44%) - Migrated: 52806, Skipped: 194, Failed: 0
⏳ Progress: 53200/120090 (44%) - Migrated: 53003, Skipped: 197, Failed: 0
⏳ Progress: 53400/120090 (44%) - Migrated: 53203, Skipped: 197, Failed: 0
⏳ Progress: 53600/120090 (45%) - Migrated: 53403, Skipped: 197, Failed: 0
⏳ Progress: 53800/120090 (45%) - Migrated: 53603, Skipped: 197, Failed: 0
⏳ Progress: 54000/120090 (45%) - Migrated: 53803, Skipped: 197, Failed: 0
⏳ Progress: 54200/120090 (45%) - Migrated: 54003, Skipped: 197, Failed: 0
⏳ Progress: 54400/120090 (45%) - Migrated: 54203, Skipped: 197, Failed: 0
⏳ Progress: 54600/120090 (45%) - Migrated: 54403, Skipped: 197, Failed: 0
⏳ Progress: 54800/120090 (46%) - Migrated: 54603, Skipped: 197, Failed: 0
⏳ Progress: 55000/120090 (46%) - Migrated: 54803, Skipped: 197, Failed: 0
⏳ Progress: 55200/120090 (46%) - Migrated: 55003, Skipped: 197, Failed: 0
⏳ Progress: 55400/120090 (46%) - Migrated: 55203, Skipped: 197, Failed: 0
⏳ Progress: 55600/120090 (46%) - Migrated: 55403, Skipped: 197, Failed: 0
⏳ Progress: 55800/120090 (46%) - Migrated: 55603, Skipped: 197, Failed: 0
⏳ Progress: 56000/120090 (47%) - Migrated: 55803, Skipped: 197, Failed: 0
⏳ Progress: 56200/120090 (47%) - Migrated: 56003, Skipped: 197, Failed: 0
⏳ Progress: 56400/120090 (47%) - Migrated: 56203, Skipped: 197, Failed: 0
⏳ Progress: 56600/120090 (47%) - Migrated: 56403, Skipped: 197, Failed: 0
⏳ Progress: 56800/120090 (47%) - Migrated: 56603, Skipped: 197, Failed: 0
⏳ Progress: 57000/120090 (47%) - Migrated: 56803, Skipped: 197, Failed: 0
⏳ Progress: 57200/120090 (48%) - Migrated: 57000, Skipped: 200, Failed: 0
⏳ Progress: 57400/120090 (48%) - Migrated: 57200, Skipped: 200, Failed: 0
